serviceArea,cidr
Common,13.107.6.171/32
Common,13.107.6.192/32
Common,13.107.9.192/32
Common,13.107.18.15/32
Common,13.107.140.6/32
Common,20.20.32.0/19
Common,20.190.128.0/18
Common,20.231.128.0/19
Common,40.126.0.0/18
Common,52.108.0.0/14
Common,52.244.37.168/32
Exchange,13.107.6.152/31
Exchange,13.107.18.10/31
Exchange,13.107.128.0/22
Exchange,23.103.160.0/20
Exchange,40.92.0.0/15
Exchange,40.96.0.0/13
Exchange,40.104.0.0/15
Exchange,40.107.0.0/16
Exchange,52.96.0.0/13
Exchange,52.238.78.88/32
Exchange,104.47.0.0/17
Exchange,131.253.33.215/32
Exchange,132.245.0.0/16
Exchange,150.171.32.0/22
Exchange,204.79.197.215/32
SharePoint,13.107.136.0/22
SharePoint,40.108.128.0/17
SharePoint,52.104.0.0/14
SharePoint,104.146.128.0/17
SharePoint,150.171.40.0/22
Skype,52.112.0.0/14
Skype,52.122.0.0/15
